sweep_label,N,geometry,sweep_amplitude,sweep_width,lambda_fit,beta_fit,lambda_action,action_over_fit,relative_tensor_difference,bianchi_relative,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N61_gaussian_A0p010_W0p60,61,gaussian_pulse,0.01,0.6,0.0034801938803817,-0.7072827617304828,0.0033939987216728,1.164004316603947,0.0017870114817707,0.001840472869203,0.0274869156292448,112079,13845841,0.0080947773414413,503.03996229171753
N61_gaussian_A0p010_W0p75,61,gaussian_pulse,0.01,0.75,0.006362772914428,-0.6541092318723433,0.0062713744467421,1.141416145772303,0.0025837508630648,0.0012503344619921,0.0304228888528329,227663,13845841,0.0164426992914334,450.0207970142365
N61_gaussian_A0p010_W1p00,61,gaussian_pulse,0.01,1.0,0.0076977391874626,-0.5683597752800397,0.0076211190723341,1.1083558419708146,0.0038080136008603,0.0008249279130296,0.0341468175512949,554967,13845841,0.0400818556272602,470.40858030319214
N61_gaussian_A0p025_W0p60,61,gaussian_pulse,0.025,0.6,0.0081452438131243,-0.7093890824297471,0.007586181301178,1.1646599456938085,0.0044942342814761,0.0045614834841952,0.0687037863342999,112079,13845841,0.0080947773414413,447.2302830219269
N61_gaussian_A0p025_W0p75,61,gaussian_pulse,0.025,0.75,0.0155234102571304,-0.6597608279354916,0.0149330807392396,1.1406151042491868,0.006419022651113,0.00310570027529,0.0757317386000258,227663,13845841,0.0164426992914334,437.96981143951416
N61_gaussian_A0p025_W1p00,61,gaussian_pulse,0.025,1.0,0.0191381495713745,-0.5788263965178256,0.0186414492831336,1.1055062620551466,0.0093654556299801,0.0020607955787922,0.084977565892749,554967,13845841,0.0400818556272602,450.1470758914948
N61_gaussian_A0p050_W0p60,61,gaussian_pulse,0.05,0.6,0.0143617114741241,-0.7122431687013372,0.0120717796497492,1.1660992594962294,0.0091326591508649,0.0090042251034898,0.1376332253269759,112079,13845841,0.0080947773414413,435.0466957092285
N61_gaussian_A0p050_W0p75,61,gaussian_pulse,0.05,0.75,0.0296714767735143,-0.6686027488207035,0.0272816261656685,1.139721285434547,0.0127723527313514,0.0061616880829023,0.1505252449233087,227663,13845841,0.0164426992914334,443.154176235199
N61_gaussian_A0p050_W1p00,61,gaussian_pulse,0.05,1.0,0.0378368355149531,-0.5961673770576068,0.03584236092188,1.1009423535694958,0.0182605758766739,0.0041323426159588,0.1687287141277995,554967,13845841,0.0400818556272602,492.5903911590576
