sweep_label,near_horizon_model,N,geometry,sweep_eps,sweep_width,sweep_score,lambda_fit,beta_fit,lambda_action,action_over_fit,action_error_abs,relative_tensor_difference,tensor_difference_percent,bianchi_abs,bianchi_relative,bianchi_relative_percent,G_mixed_norm,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds
N61_pg_horizon_eps0p15_width0p50_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,0.5,schwarz_center,0.0181123988999119,-31.488063550151388,0.016414696351366,1.0880438249049849,0.08804382490498486,0.0533052849583548,5.33052849583548,0.0014384001242358,0.5994172974184007,59.941729741840064,0.0023996640244297,0.005566843058503,470470,13845841,0.0339791566290556,80.25625228881836
N61_pg_horizon_eps0p15_width0p50_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,0.5,schwarz_exterior,-0.028638662035811,-53.58035832817169,-0.0312981649163346,1.057430530754483,0.0574305307544829,0.0670621203410113,6.706212034101131,0.000452318687006,0.5638455626777228,56.38455626777228,0.0008022031509087,0.0017254327057061,2406250,13845841,0.1737886488801944,81.15241074562073
N61_pg_horizon_eps0p15_width0p75_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,0.75,schwarz_center,0.0078525415705,-7.035450595516739,0.0075997653488582,1.0675779361540472,0.06757793615404717,0.0244363772655505,2.44363772655505,0.0016122972890021,0.611142589009076,61.1142589009076,0.0026381687645372,0.0063530097357729,702130,13845841,0.0507105346652471,80.21842789649963
N61_pg_horizon_eps0p15_width0p75_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,0.75,schwarz_exterior,-0.0084287917661277,-8.450226956986135,-0.0087408462013623,1.0101561808107875,0.010156180810787507,0.0174792908682593,1.7479290868259298,0.0003312451798828,0.5607276902088415,56.07276902088415,0.0005907416124919,0.0012694322488282,4543330,13845841,0.3281368029576535,81.82451057434082
N61_pg_horizon_eps0p15_width1p00_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,1.0,schwarz_center,0.0031136435661045,-2.0063728800804927,0.0033954169988073,1.0194242002315534,0.019424200231553446,0.0079658225221448,0.7965822522144801,0.0018730925360546,0.620070077266646,62.0070077266646,0.0030207755618712,0.0078337316538691,944900,13845841,0.0682443197202683,80.34065866470337
N61_pg_horizon_eps0p15_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,1.0,schwarz_exterior,-0.0032517147113793,1.1761336848921615,-0.0031738993578818,1.0057729044949717,0.005772904494971698,0.007699289622038,0.7699289622038,0.000276549442098,0.5599723806719253,55.997238067192534,0.0004938626468795,0.0010620034783992,6526630,13845841,0.4713783727546777,82.60538816452026
N61_pg_horizon_eps0p15_width1p25_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,1.25,schwarz_center,0.00110081967697,-0.5691979104568328,0.0009369722579006,1.021294791040241,0.021294791040241012,0.006067490645029,0.6067490645029,0.0021910620759492,0.6259048527564343,62.590485275643424,0.0035006312322072,0.0095185584558072,1194710,13845841,0.0862865607080133,80.45514297485352
N61_pg_horizon_eps0p15_width1p25_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.15,1.25,schwarz_exterior,-0.0014528381153945,2.303418567945462,-0.0013488723266089,1.063530903136343,0.06353090313634291,0.0157495424142221,1.57495424142221,0.0002524318703423,0.5598273268943804,55.982732689438045,0.0004509102328796,0.0009701324524725,7834970,13845841,0.5658717300018107,82.95482587814331
N61_pg_horizon_eps0p25_width0p50_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,0.5,schwarz_center,0.0192511916955581,-31.539681669195478,0.0143222437427398,1.08993265979384,0.08993265979383991,0.0682949958619997,6.8294995861999706,0.0014294186379404,0.4483332080460732,44.83332080460732,0.0031882952506911,0.006771297770173,478390,13845841,0.0345511695533698,80.1902756690979
N61_pg_horizon_eps0p25_width0p50_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,0.5,schwarz_exterior,-0.0294393303613923,-55.89572982706627,-0.0312543666039378,1.0625763856007482,0.06257638560074819,0.0867563000873076,8.67563000873076,0.0004466275173592,0.4289860874250439,42.89860874250439,0.0010411235479456,0.0019110836157465,2398330,13845841,0.1732166359558802,81.00602126121521
N61_pg_horizon_eps0p25_width0p75_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,0.75,schwarz_center,0.0076189313843707,-7.056320346221556,0.0069667645082808,1.0704146044781515,0.07041460447815151,0.0318787864492617,3.1878786449261702,0.0016151618426087,0.4540470440139748,45.40470440139748,0.0035572565968715,0.0080489105868583,706090,13845841,0.0509965411274042,80.26646447181702
N61_pg_horizon_eps0p25_width0p75_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,0.75,schwarz_exterior,-0.0085506899972965,-9.505561692310492,-0.0087864391296341,1.0128879561534767,0.01288795615347671,0.0249243144077604,2.49243144077604,0.0003268561897907,0.4268790392151086,42.68790392151086,0.0007656880749912,0.0014028822189206,4536290,13845841,0.3276283470249297,81.74112248420715
N61_pg_horizon_eps0p25_width1p00_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,1.0,schwarz_center,0.0025075019462052,-2.023861631210386,0.0025861749093305,1.0196912139806136,0.019691213980613576,0.0105134620055208,1.05134620055208,0.0018365762328707,0.4574730538421402,45.74730538421402,0.0040146107348751,0.0098622366386226,936980,13845841,0.0676723067959541,80.22557711601257
N61_pg_horizon_eps0p25_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,1.0,schwarz_exterior,-0.003264537003516,0.9122538027861584,-0.0032181837613247,1.0043300661935863,0.004330066193586335,0.0084778367985995,0.84778367985995,0.0002726529483941,0.4263075633307234,42.63075633307234,0.0006395686397489,0.0011728561711768,6527950,13845841,0.4714737082420634,82.47399759292603
N61_pg_horizon_eps0p25_width1p25_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,1.25,schwarz_center,1.1881298467325394e-05,-0.5584506038152229,-8.79329575511713e-05,1.022586142099197,0.02258614209919707,0.008360216594068,0.8360216594068,0.0021987220947283,0.4575230492319866,45.752304923198665,0.0048057078182601,0.0128699634803903,1189430,13845841,0.0859052187584705,80.55351209640503
N61_pg_horizon_eps0p25_width1p25_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.25,1.25,schwarz_exterior,-0.0014510700133281,2.2256627887882545,-0.0013802528894688,1.059112013688275,0.05911201368827501,0.0192669976290244,1.92669976290244,0.0002489220886465,0.4262023139787844,42.62023139787844,0.0005840467789176,0.0010716845365466,7833650,13845841,0.565776394514425,82.87231278419495
N61_pg_horizon_eps0p35_width0p50_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.35,0.5,schwarz_center,0.0182536859200395,-31.58414194458453,0.0173304036233065,1.0966829693161666,0.0966829693161666,0.1129080094061764,11.29080094061764,0.0014143467125883,0.2429189377525325,24.29189377525325,0.0058222990997482,0.0116501478443964,466510,13845841,0.0336931501668984,80.25095129013062
N61_pg_horizon_eps0p35_width0p50_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.35,0.5,schwarz_exterior,-0.0326519436031284,-60.40523849620513,-0.0313974353721312,1.071523107426155,0.07152310742615509,0.1525042848194459,15.250428481944589,0.0004389732435424,0.2370741881146131,23.70741881146131,0.0018516281634602,0.0027946179735449,2406250,13845841,0.1737886488801944,80.98457074165344
N61_pg_horizon_eps0p35_width0p75_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.35,0.75,schwarz_center,0.0052760306120841,-7.835292287722527,0.0042693030519129,1.0828831573954112,0.08288315739541119,0.0600025594089952,6.00025594089952,0.0015231894338704,0.2426665421037497,24.26665421037497,0.0062768827571589,0.0134121103415536,698170,13845841,0.05042452820309,80.35825490951538
N61_pg_horizon_eps0p35_width0p75_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.35,0.75,schwarz_exterior,-0.0091856407296951,-12.02983046109509,-0.009010555002983,1.0213519376500404,0.021351937650040398,0.0542294891504045,5.42294891504045,0.0003225855294238,0.236150475325232,23.6150475325232,0.0013660168542093,0.0020519739433107,4514290,13845841,0.3260394222351679,81.82816362380981
N61_pg_horizon_eps0p35_width1p00_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.35,1.0,schwarz_center,0.0003027108003202,-2.235475937671416,8.035795187040597e-05,1.0259183012234452,0.025918301223445184,0.0221125940377458,2.21125940377458,0.0017395280509875,0.2397307948889376,23.97307948889376,0.0072561727073631,0.0171634321894376,930380,13845841,0.0671956293590255,80.3088366985321
N61_pg_horizon_eps0p35_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.35,1.0,schwarz_exterior,-0.0033732646673061,-0.022221300409057,-0.0033840963834174,1.0011159236432172,0.0011159236432172204,0.0074013991233865,0.7401399123386501,0.0002685023088544,0.235845812139192,23.5845812139192,0.0011384654508767,0.0017113361043916,6525310,13845841,0.471283037267292,82.52433323860168
N61_pg_horizon_eps0p35_width1p25_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.35,1.25,schwarz_center,-0.0031159758466524,-0.6153524898819978,-0.0029377676849339,1.0141044723458106,0.014104472345810581,0.0128808847928325,1.2880884792832499,0.0020637228277853,0.2405951055972205,24.05951055972205,0.0085775761009879,0.0224377627371638,1182830,13845841,0.0854285413215419,80.39324259757996
N61_pg_horizon_eps0p35_width1p25_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.35,1.25,schwarz_exterior,-0.0014679199542824,1.8497500885241307,-0.0014882697999347,1.0455817630373576,0.045581763037357614,0.0291942683499598,2.91942683499598,0.0002448783524327,0.2357920101420735,23.57920101420735,0.0010385354121421,0.0015620085022047,7846850,13845841,0.566729749388282,82.79265761375427
N61_pg_horizon_eps0p50_width0p50_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,0.5,schwarz_center,0.0115031122517124,-34.97650463844738,0.0146544485562152,1.1173237041301192,0.11732370413011917,0.2152308060262451,21.523080602624507,0.0013389144959667,0.1179267715300095,11.79267715300095,0.0113537789476926,0.0215713086371694,451990,13845841,0.0326444598056557,80.0810661315918
N61_pg_horizon_eps0p50_width0p50_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,0.5,schwarz_exterior,-0.041614721202507,-76.40750512855755,-0.0314803400884277,1.118170331399174,0.11817033139917399,0.3210225636424697,32.10225636424697,0.0004206788025383,0.1167506206383848,11.67506206383848,0.0036032254067524,0.0047787458866889,2386120,13845841,0.1723347826975624,81.04015898704529
N61_pg_horizon_eps0p50_width0p75_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,0.75,schwarz_center,0.0034760110548997,-9.167250562223115,0.0007314028255372,1.1173915227436526,0.11739152274365261,0.1318747408757707,13.187474087577069,0.0014925687799266,0.1182296450328391,11.82296450328391,0.0126243192180103,0.0261585574209767,679360,13845841,0.0490659975078436,80.38224911689758
N61_pg_horizon_eps0p50_width0p75_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,0.75,schwarz_exterior,-0.0114484373288943,-20.46058090980708,-0.0093883935573219,1.0664663862349604,0.06646638623496037,0.1694289461454742,16.94289461454742,0.0003084688601464,0.1163623489991807,11.63623489991807,0.0026509335949259,0.0034931194835402,4500760,13845841,0.3250622334894644,81.91657209396362
N61_pg_horizon_eps0p50_width1p00_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,1.0,schwarz_center,-0.0028505550003054,-2.8338272685665897,-0.0047873723284934,1.0518007932063371,0.051800793206337126,0.0625880782483467,6.25880782483467,0.0017681906083433,0.1227783787274968,12.27783787274968,0.0144014819764624,0.0328858622292694,931920,13845841,0.0673068540943089,80.282879114151
N61_pg_horizon_eps0p50_width1p00_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,1.0,schwarz_exterior,-0.0038289607531623,-2.8638654321250825,-0.003673495697364,1.0039557089489464,0.003955708948946368,0.0263727572934587,2.6372757293458697,0.0002563267111988,0.1162170077210121,11.62170077210121,0.0022055869121515,0.0029077032693157,6528390,13845841,0.4715054867378587,82.85303974151611
N61_pg_horizon_eps0p50_width1p25_schwarz_center,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,1.25,schwarz_center,-0.0076652132879684,-1.183498657146923,-0.0081073007966048,1.0023038760317806,0.002303876031780616,0.0120323342136479,1.20323342136479,0.002429265608425,0.1398794029364593,13.98794029364593,0.0173668571457122,0.0442885447263893,1175240,13845841,0.0848803622690741,80.68835973739624
N61_pg_horizon_eps0p50_width1p25_schwarz_exterior,painleve_gullstrand_like_radial_flow,61,pg_horizon,0.5,1.25,schwarz_exterior,-0.0015551179005939,0.7769554217758502,-0.0016730695357937,1.0172316324720545,0.017231632472054503,0.0345746963629436,3.45746963629436,0.0002337189433779,0.1161916975639044,11.619169756390441,0.0020114943518177,0.0026531277562524,7854440,13845841,0.5672779284407499,83.00901222229004
