N,geometry,score,sweep_score,mass,eps,width,lambda_fit,beta_fit,lambda_action,action_over_fit,action_error_percent,relative_tensor_difference,tensor_difference_percent,bianchi_abs,bianchi_relative,bianchi_relative_percent,G_mixed_norm,Rscalar_mask_rms,score_points,total_points,score_fraction,elapsed_seconds,elapsed_hours
61,pg_horizon,,schwarz_exterior,,,,-0.0033732646673061,-0.022221300409057,-0.0033840963834174,1.0011159236432172,0.11159236432172204,0.0074013991233865,0.7401399123386501,0.0002685023088544,0.235845812139192,23.5845812139192,0.0011384654508767,0.0017113361043916,6525310,13845841,0.471283037267292,82.5945405960083,0.02294292794333564
71,pg_horizon,,schwarz_exterior,,,,-0.002644445089362,-0.338487661966922,-0.0026499255078927,1.000470949925946,0.047094992594609586,0.0047299505085224,0.47299505085224,0.0001923368992296,0.1773264750709451,17.73264750709451,0.0010846485227473,0.0015236864173033,12466350,25411681,0.4905755742801903,150.5372908115387,0.0418159141143163
81,pg_horizon,,schwarz_exterior,,,,-0.0021472244730784,-0.3099936371490989,-0.0021513859791539,1.000504737645645,0.05047376456450703,0.0048460511169192,0.48460511169191994,0.0001469289758482,0.1373764659166351,13.73764659166351,0.0010695352720562,0.0014735499165877,21732600,43046721,0.5048607535054761,257.3004746437073,0.07147235406769646
91,pg_horizon,,schwarz_exterior,,,,-0.0017982127266152,-0.3406031044494721,-0.0018014185234459,1.0004569737215838,0.04569737215838199,0.0045693361514164,0.45693361514163994,0.0001156535522554,0.1093834314151264,10.93834314151264,0.0010573224002868,0.0014393968370554,35369180,68574961,0.515773971785416,620.4076266288757,0.17233545184135438
101,pg_horizon,,schwarz_exterior,,,,-0.0015436910650745,-0.4314626900110297,-0.0015458774220396,1.0003417440379072,0.03417440379072101,0.0039035550123496,0.39035550123496,9.357060544841208e-05,0.0892464732429636,8.92464732429636,0.0010484515751527,0.0014174016909055,54667370,104060401,0.5253426805456958,1489.3720359802246,0.4137144544389513
111,pg_horizon,,schwarz_exterior,,,,-0.0013524837951933,-0.322528307695692,-0.0013546534458998,1.000482530004987,0.048253000498710286,0.0046112334199152,0.46112334199152,7.683497337039134e-05,0.0740146746111593,7.401467461115931,0.0010381045890433,0.0013956508489685,80829210,151807041,0.532447042426708,4132.275226831436,1.1478542296753989
121,pg_horizon,,schwarz_exterior,,,,-0.0012059030741117,-0.4357397823898195,-0.0012073978651172,1.0003348938602452,0.03348938602452112,0.0038223546040173,0.38223546040173,6.439413647364276e-05,0.0622843002079713,6.22843002079713,0.0010338742870775,0.0013866715217771,115446660,214358881,0.5385671891056382,11418.46042752266,3.1717945632007387
131,pg_horizon,,schwarz_exterior,,,,-0.0010906312946854,-0.367022258368314,-0.0010920689424882,1.000429363754935,0.042936375493507484,0.0042759764554993,0.42759764554992996,5.488951293821983e-05,0.0532665407969781,5.326654079697811,0.0010304688856636,0.0013821057499193,160077500,294499921,0.5435570218709838,25797.52769589424,7.1659799155261785
141,pg_horizon,,schwarz_exterior,,,,-0.0009989894140193,-0.5544717215318238,-0.0009998542553457,1.0002162351543962,0.021623515439617158,0.0030086800006313,0.30086800006312997,4.7416165534413496e-05,0.0459696082104428,4.59696082104428,0.0010314676887683,0.0013861788443222,216679050,395254161,0.5482018189303768,51101.215396642685,14.194782054622967
151,pg_horizon,schwarz_exterior,,1.25,0.35,1.0,-0.0009243799674413,-0.4624345898177494,-0.0009252910667176,1.0003193076981174,0.03193076981173881,0.0036204673177384,0.36204673177384,4.122612675653793e-05,0.0401252627048032,4.012526270480319,0.0010274356845918,0.0013798234894577,287007490,519885601,0.552058932672767,85638.26102089882,23.788405839138562
